The result for hurdat2-1851-2017-050118.txt is:

|     Strom name     ||      Storm ID      ||  Distance travel   ||  Mean propagation  ||  Max propagation   ||        TRSE        ||Max hurricane surface area|
|        N/A         ||      AL011851      ||       386.94       ||        5.37        ||        6.26        ||     17409000.0     ||        N/A         |
|        N/A         ||      AL021851      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL031851      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL041851      ||      4429.71       ||       15.71        ||       30.08        ||    100239000.0     ||        N/A         |
|        N/A         ||      AL051851      ||        N/A         ||        0.0         ||        0.0         ||        0.0         ||        0.0         |
|        N/A         ||      AL061851      ||       880.27       ||        9.78        ||       18.05        ||     15069000.0     ||        N/A         |
|        N/A         ||      AL011852      ||      2688.69       ||       10.18        ||        19.5        ||    133020000.0     ||        N/A         |
|        N/A         ||      AL021852      ||       508.24       ||        12.1        ||       16.65        ||     8226000.0      ||        N/A         |
|        N/A         ||      AL031852      ||      1117.42       ||        9.8         ||       32.17        ||     34962000.0     ||        N/A         |
|        N/A         ||      AL041852      ||      1807.15       ||        8.61        ||       16.41        ||     86862000.0     ||        N/A         |
|        N/A         ||      AL051852      ||      2434.89       ||       17.64        ||       37.75        ||     76221000.0     ||        N/A         |
|        N/A         ||      AL011853      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL021853      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL031853      ||      5281.71       ||       18.73        ||       37.09        ||    288276000.0     ||        N/A         |
|        N/A         ||      AL041853      ||      1304.74       ||       19.77        ||       24.96        ||     62748000.0     ||        N/A         |
|        N/A         ||      AL051853      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL061853      ||      1131.44       ||        8.98        ||       23.51        ||     37770000.0     ||        N/A         |
|        N/A         ||      AL071853      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL081853      ||       400.94       ||        5.14        ||        8.61        ||     44130000.0     ||        N/A         |
|        N/A         ||      AL011854      ||       585.2        ||        9.75        ||       14.66        ||     13488000.0     ||        N/A         |
|        N/A         ||      AL021854      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL031854      ||      2187.18       ||       15.85        ||       30.76        ||     91666000.0     ||        N/A         |
|        N/A         ||      AL041854      ||       236.04       ||        4.37        ||        5.63        ||     22629000.0     ||        N/A         |
|        N/A         ||      AL051854      ||       800.62       ||       12.13        ||       20.39        ||     11526000.0     ||        N/A         |
|        N/A         ||      AL011855      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL021855      ||       926.69       ||       30.89        ||       36.23        ||     21870000.0     ||        N/A         |
|        N/A         ||      AL031855      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL041855      ||       1151.8       ||        12.8        ||       17.14        ||     14886000.0     ||        N/A         |
|        N/A         ||      AL051855      ||       390.02       ||        7.22        ||       10.84        ||     38610000.0     ||        N/A         |
|        N/A         ||      AL011856      ||       620.43       ||        7.95        ||       13.96        ||     72036000.0     ||        N/A         |
|        N/A         ||      AL021856      ||       558.42       ||        13.3        ||       16.65        ||     14406000.0     ||        N/A         |
|        N/A         ||      AL031856      ||       789.0        ||       13.15        ||       19.06        ||     7500000.0      ||        N/A         |
|        N/A         ||      AL041856      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051856      ||      3081.88       ||       13.17        ||       29.17        ||    108816000.0     ||        N/A         |
|        N/A         ||      AL061856      ||       363.18       ||        3.19        ||       10.81        ||     27558000.0     ||        N/A         |
|        N/A         ||      AL011857      ||       441.72       ||       10.52        ||       13.15        ||     5250000.0      ||        N/A         |
|        N/A         ||      AL021857      ||      2940.31       ||       10.65        ||       29.86        ||    103158000.0     ||        N/A         |
|        N/A         ||      AL031857      ||        N/A         ||        0.0         ||        0.0         ||        0.0         ||        0.0         |
|        N/A         ||      AL041857      ||      2675.36       ||       16.51        ||       21.48        ||     54030000.0     ||        N/A         |
|        N/A         ||      AL011858      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL021858      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL031858      ||      1741.81       ||       22.33        ||       49.36        ||     28964000.0     ||        N/A         |
|        N/A         ||      AL041858      ||       2714.7       ||        14.6        ||       21.63        ||     85008000.0     ||        N/A         |
|        N/A         ||      AL051858      ||       886.66       ||       11.37        ||       17.95        ||     30006000.0     ||        N/A         |
|        N/A         ||      AL061858      ||      1580.13       ||       12.54        ||       18.63        ||     50658000.0     ||        N/A         |
|        N/A         ||      AL011859      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL021859      ||       542.74       ||        8.22        ||       12.67        ||     48114000.0     ||        N/A         |
|        N/A         ||      AL031859      ||       328.11       ||       10.94        ||       12.47        ||     10290000.0     ||        N/A         |
|        N/A         ||      AL041859      ||      1043.77       ||       28.99        ||       40.54        ||     19008000.0     ||        N/A         |
|        N/A         ||      AL051859      ||      1914.49       ||       21.27        ||       44.83        ||     20796000.0     ||        N/A         |
|        N/A         ||      AL061859      ||      1801.94       ||       15.81        ||        29.6        ||    115968000.0     ||        N/A         |
|        N/A         ||      AL071859      ||       388.97       ||        7.2         ||       11.18        ||     9658000.0      ||        N/A         |
|        N/A         ||      AL081859      ||      1797.59       ||       13.03        ||       55.21        ||     40572000.0     ||        N/A         |
|        N/A         ||      AL011860      ||      1403.65       ||        7.09        ||       12.94        ||     75230000.0     ||        N/A         |
|        N/A         ||      AL021860      ||       963.18       ||       14.59        ||       18.09        ||     30564000.0     ||        N/A         |
|        N/A         ||      AL041860      ||       720.9        ||        5.72        ||       13.01        ||     81924000.0     ||        N/A         |
|        N/A         ||      AL031860      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051860      ||      1120.85       ||       12.45        ||       18.28        ||     15612000.0     ||        N/A         |
|        N/A         ||      AL061860      ||       774.51       ||        8.61        ||       15.58        ||     32610000.0     ||        N/A         |
|        N/A         ||      AL071860      ||      1336.16       ||        13.1        ||        31.8        ||     47730000.0     ||        N/A         |
|        N/A         ||      AL011861      ||       1612.7       ||        9.95        ||        14.2        ||     55002000.0     ||        N/A         |
|        N/A         ||      AL021861      ||       961.87       ||        9.43        ||       14.91        ||     33186000.0     ||        N/A         |
|        N/A         ||      AL031861      ||      1626.63       ||       11.79        ||       19.12        ||     81072000.0     ||        N/A         |
|        N/A         ||      AL041861      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051861      ||      1154.66       ||       38.49        ||       47.71        ||     6785000.0      ||        N/A         |
|        N/A         ||      AL061861      ||      1380.26       ||       15.34        ||       20.24        ||     17256000.0     ||        N/A         |
|        N/A         ||      AL071861      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL081861      ||      1259.67       ||       20.99        ||        24.1        ||     14063000.0     ||        N/A         |
|        N/A         ||      AL011862      ||       346.82       ||        5.25        ||        7.55        ||     8250000.0      ||        N/A         |
|        N/A         ||      AL021862      ||      1353.22       ||       18.79        ||       35.31        ||     48582000.0     ||        N/A         |
|        N/A         ||      AL031862      ||      2262.82       ||       11.43        ||       30.12        ||    118032000.0     ||        N/A         |
|        N/A         ||      AL041862      ||        N/A         ||        N/A         ||        N/A         ||        N/A         ||        N/A         |
|        N/A         ||      AL051862      ||       929.11       ||       11.91        ||       23.52        ||     22614000.0     ||        N/A         |
|        N/A         ||      AL061862      ||       29.55        ||        0.38        ||        1.97        ||     13932000.0     ||        N/A         |
|        N/A         ||      AL011863      ||       353.73       ||        8.42        ||        9.06        ||     18750000.0     ||        N/A         |
|        N/A         ||      AL021863      ||       535.25       ||       12.74        ||       15.02        ||     23382000.0     ||        N/A         |
|        N/A         ||      AL031863      ||      1513.66       ||       14.84        ||       23.38        ||     56808000.0     ||        N/A         |
|        N/A         ||      AL041863      ||       657.7        ||       15.66        ||       19.83        ||     28014000.0     ||        N/A         |
|        N/A         ||      AL051863      ||       2610.8       ||       14.04        ||       21.85        ||     54756000.0     ||        N/A         |
|        N/A         ||      AL061863      ||      1090.06       ||       13.98        ||       38.49        ||     12931000.0     ||        N/A         |
|        N/A         ||      AL071863      ||       121.78       ||        4.06        ||        5.02        ||     3018000.0      ||        N/A         |
|        N/A         ||      AL081863      ||       378.32       ||       21.02        ||        26.8        ||     1884000.0      ||        N/A         |
|        N/A         ||      AL091863      ||       356.68       ||        5.4         ||        5.92        ||     7146000.0      ||        N/A         |
|        N/A         ||      AL011864      ||      1754.92       ||       26.59        ||       43.84        ||     19590000.0     ||        N/A         |
